  epoch    kl       lr    tr_loss    tr_acc    te_loss    te_acc    sp_0    sp_1    sp_2    time
-------  ----  -------  ---------  --------  ---------  --------  ------  ------  ------  ------
      1  0.04  1.0e-03    2.5e+02      91.1    1.3e+02      96.1   0.342   0.120   0.035   16.08
      2  0.06  1.0e-03    1.3e+02      96.5    1.1e+02      97.0   0.442   0.192   0.050   15.30
      3  0.08  1.0e-03    1.1e+02      97.3    9.7e+01      97.4   0.542   0.277   0.057   15.27
      4  0.10  1.0e-03    9.4e+01      97.8    9.9e+01      97.3   0.610   0.330   0.071   14.99
      5  0.12  1.0e-03    8.8e+01      98.0    8.9e+01      97.7   0.639   0.390   0.063   15.06
      6  0.14  1.0e-03    8.1e+01      98.3    8.7e+01      97.8   0.702   0.441   0.088   15.21
      7  0.16  1.0e-03    7.9e+01      98.3    8.0e+01      98.3   0.749   0.470   0.087   15.33
      8  0.18  1.0e-03    7.7e+01      98.4    8.3e+01      98.0   0.766   0.492   0.077   15.00
      9  0.20  1.0e-03    7.5e+01      98.4    8.4e+01      98.1   0.796   0.521   0.109   14.93
     10  0.22  1.0e-03    7.5e+01      98.5    8.1e+01      98.1   0.807   0.544   0.114   15.12
     11  0.24  1.0e-03    7.6e+01      98.4    8.0e+01      98.1   0.816   0.571   0.114   15.12
     12  0.26  1.0e-03    7.5e+01      98.5    8.3e+01      98.2   0.829   0.587   0.125   15.06
     13  0.28  1.0e-03    7.5e+01      98.5    8.0e+01      98.4   0.838   0.603   0.131   15.26
     14  0.30  1.0e-03    7.5e+01      98.5    8.3e+01      98.3   0.854   0.618   0.149   14.97
     15  0.32  1.0e-03    7.6e+01      98.4    8.1e+01      98.3   0.858   0.618   0.143   14.71
     16  0.34  1.0e-03    7.6e+01      98.5    8.1e+01      98.2   0.859   0.625   0.157   15.25
     17  0.36  1.0e-03    7.6e+01      98.5    8.2e+01      98.3   0.866   0.631   0.165   14.55
     18  0.38  1.0e-03    7.6e+01      98.5    8.7e+01      98.2   0.868   0.656   0.176   14.44
